Date,SDS,SPY,SSO
2016-05-31,1461.3394775390625,178.27786254882812,7.865408420562744
2016-06-01,1454.8697509765625,178.64312744140625,7.897466659545898
2016-06-02,1448.3997802734375,179.18692016601562,7.943779945373535
2016-06-03,1455.677978515625,178.65162658691406,7.893905162811279
2016-06-06,1441.12158203125,179.56072998046875,7.97821044921875
2016-06-07,1436.269287109375,179.84115600585938,7.9984002113342285
2016-06-08,1427.37353515625,180.4273223876953,8.049455642700195
2016-06-09,1430.6082763671875,180.18093872070312,8.028085708618164
2016-06-10,1457.2957763671875,178.4733123779297,7.8796586990356445
2016-06-13,1480.748291015625,177.0969696044922,7.756166934967041
2016-06-14,1486.4093017578125,176.74862670898438,7.726480960845947
2016-06-15,1490.4530029296875,176.502197265625,7.701546669006348
2016-06-16,1480.748291015625,177.02894592285156,7.750229358673096
2016-06-17,1492.0701904296875,176.36964416503906,7.688484191894531
2016-06-20,1473.469970703125,177.50555419921875,7.785853862762451
2016-06-21,1464.5740966796875,178.00936889648438,7.830974102020264
2016-06-22,1471.0438232421875,177.718994140625,7.804459571838379
2016-06-23,1432.2255859375,180.03330993652344,8.004206657409668
2016-06-24,1535.740478515625,173.56851196289062,7.42279577255249
2016-06-27,1589.924072265625,170.45994567871094,7.161223411560059
2016-06-28,1533.314208984375,173.53436279296875,7.418041706085205
2016-06-29,1479.1309814453125,176.48927307128906,7.6772379875183105
2016-06-30,1440.312744140625,178.89749145507812,7.878177642822266
2016-07-01,1433.8431396484375,179.27328491210938,7.915035724639893
2016-07-05,1453.2520751953125,177.98373413085938,7.8032708168029785
2016-07-06,1437.077880859375,179.0512237548828,7.89600944519043
2016-07-07,1438.6954345703125,178.94027709960938,7.882931709289551
2016-07-08,1396.642333984375,181.60472106933594,8.119538307189941
2016-07-11,1386.93798828125,182.24525451660156,8.180177688598633
2016-07-12,1366.72021484375,183.5689697265625,8.296698570251465
2016-07-13,1365.9114990234375,183.5433349609375,8.291940689086914
2016-07-14,1352.1632080078125,184.568115234375,8.38349437713623
2016-07-15,1353.7806396484375,184.3205108642578,8.365655899047852
2016-07-18,1347.3106689453125,184.81578063964844,8.409650802612305
2016-07-19,1349.7371826171875,184.62794494628906,8.389437675476074
2016-07-20,1338.415283203125,185.3965301513672,8.461966514587402
2016-07-21,1348.9287109375,184.69627380371094,8.393003463745117
2016-07-22,1335.9893798828125,185.52459716796875,8.475042343139648
2016-07-25,1343.2677001953125,185.02078247070312,8.429862022399902
2016-07-26,1343.2677001953125,185.1061553955078,8.431051254272461
2016-07-27,1344.884765625,184.90977478027344,8.41321849822998
2016-07-28,1341.6500244140625,185.12327575683594,8.431051254272461
2016-07-29,1339.2239990234375,185.42214965820312,8.460776329040527
2016-08-01,1340.03271484375,185.2684326171875,8.444129943847656
2016-08-02,1357.015380859375,184.08131408691406,8.33950138092041
2016-08-03,1349.7371826171875,184.619384765625,8.389437675476074
2016-08-04,1346.5023193359375,184.81578063964844,8.400139808654785
2016-08-05,1324.6671142578125,186.327392578125,8.534492492675781
2016-08-08,1325.4757080078125,186.21640014648438,8.530926704406738
2016-08-09,1323.858642578125,186.327392578125,8.535683631896973
2016-08-10,1330.3280029296875,185.86622619628906,8.498825073242188
