Date,S&P 500,Bonds,Gold,Commodities,US Dollar
1987-01-31,,0.013017894947780606,,,
1987-02-28,,0.00547512378356485,,,
1987-03-31,,-0.006436423897999033,,,
1987-04-30,,-0.031849497355660006,,,
1987-05-31,,-0.003969364640520889,,,
1987-06-30,,0.014253560486815697,,,
1987-07-31,,-0.0011020644386315892,,,
1987-08-31,,-0.00764150796754226,,,
1987-09-30,,-0.0224502614795572,,,
1987-10-31,,0.03503000776646337,,,
1987-11-30,,0.006990051919872897,,,
1987-12-31,,0.01639593192762101,,,
1988-01-31,,0.03098505715151978,,,
1988-02-29,0.04664624891709246,0.011902051318114282,,,
1988-03-31,-0.030911447047055285,-0.011408342407083438,,,
1988-04-30,0.011066493264338506,-0.005470780703806244,,,
1988-05-31,0.008635050392027832,-0.009587975647268432,,,
1988-06-30,0.04588465336675385,0.02687095794810368,,,
1988-07-31,-0.0037697216857001115,-0.004711750270998349,,,
1988-08-31,-0.033947108874809895,0.0018345514708437705,,,
1988-09-30,0.042600748305066105,0.021902165065135204,,,
1988-10-31,0.0278364129347628,0.014667139197549695,,,
1988-11-30,-0.014237464734598415,-0.008513839896373776,,,
1988-12-31,0.01744474387024275,0.004609991510010625,,,
1989-01-31,0.0731986557521378,0.008761021873018526,,,
1989-02-28,-0.024902111517220438,-0.0061133176302088366,,,
1989-03-31,0.023315971449045847,0.002589394521028021,,,
1989-04-30,0.05192191796850687,0.01985526825251105,,,
1989-05-31,0.04045478488285381,0.02545829371264241,,,
1989-06-30,-0.00565608590216049,0.02932615325677368,,,
1989-07-31,0.09029724055764143,0.021916670840391506,,,
1989-08-31,0.01953016601278801,-0.016002833364560654,,,
1989-09-30,-0.004045572044541146,0.004808711662145138,,,
1989-10-31,-0.02321516411880098,0.024698938764856626,,,
1989-11-30,0.02037956738341351,0.007545712099987556,,,
1989-12-31,0.024020926997665448,0.007433732412670535,,,
1990-01-31,-0.06713054736265178,-0.018898254766757216,,,
1990-02-28,0.01288353259631525,0.007519251279893613,,,
1990-03-31,0.02649930264993028,0.0007989142547448758,,,
1990-04-30,-0.024945632271144658,-0.009026670419971627,,,
1990-05-31,0.09748614836057112,0.028650609519732084,,,
1990-06-30,-0.0067546298298253316,0.016083241774861978,,,
1990-07-31,-0.0031957865551637266,0.012686397492450041,,,
1990-08-31,-0.09038451724322549,-0.012076445491810972,,,
1990-09-30,-0.048667642873510775,0.007305804820020079,,,
1990-10-31,-0.004268064788185089,0.01496582654008316,,,
1990-11-30,0.06465247933171092,0.022345884975160324,,,
1990-12-31,0.02784687304263067,0.014626275923392162,,,
1991-01-31,0.04354924666915694,0.011214144580605323,,,
1991-02-28,0.07152531247026905,0.007869004991956086,,,
1991-03-31,0.024204564882854163,0.006933324443575417,,,
1991-04-30,0.002375127669998145,0.009998639139043197,,,
1991-05-31,0.04314857120998439,0.006773897952509156,,,
1991-06-30,-0.04581588078679122,-0.0005645346171481158,,,
1991-07-31,0.04661124629436686,0.013225343967960601,,,
1991-08-31,0.023677934280968982,0.02047999208123441,,,
1991-09-30,-0.016731099898111945,0.02024545227229746,,,
